SampleName,risk,CODE
GSM924440,low,LAML
GSM924441,high,LAML
GSM924443,high,LAML
GSM924444,high,LAML
GSM924445,high,LAML
GSM924446,low,LAML
GSM924447,high,LAML
GSM924448,low,LAML
GSM924449,high,LAML
GSM924450,low,LAML
GSM924451,low,LAML
GSM924452,low,LAML
GSM924453,high,LAML
GSM924454,high,LAML
GSM924455,low,LAML
GSM924456,high,LAML
GSM924457,high,LAML
GSM924458,high,LAML
GSM924459,high,LAML
GSM924460,high,LAML
GSM924461,low,LAML
GSM924462,low,LAML
GSM924463,low,LAML
GSM924464,low,LAML
GSM924465,low,LAML
GSM924466,high,LAML
GSM924467,high,LAML
GSM924468,high,LAML
GSM924469,low,LAML
GSM924470,high,LAML
GSM924471,low,LAML
GSM924472,low,LAML
GSM924473,high,LAML
GSM924474,low,LAML
GSM924475,high,LAML
GSM924476,high,LAML
GSM924477,high,LAML
GSM924478,high,LAML
GSM924479,high,LAML
GSM924480,low,LAML
GSM924481,low,LAML
GSM924482,low,LAML
GSM924483,low,LAML
GSM924484,low,LAML
GSM924485,low,LAML
GSM924486,low,LAML
GSM924487,low,LAML
GSM924488,low,LAML
GSM924489,high,LAML
GSM924490,high,LAML
GSM924491,high,LAML
GSM924492,high,LAML
GSM924493,high,LAML
GSM924494,high,LAML
GSM924495,low,LAML
GSM924496,low,LAML
GSM924497,high,LAML
GSM924498,low,LAML
GSM924499,low,LAML
GSM924500,low,LAML
GSM924501,high,LAML
GSM924502,low,LAML
GSM924503,low,LAML
GSM924504,high,LAML
GSM924505,high,LAML
GSM924506,low,LAML
GSM924507,high,LAML
GSM924508,low,LAML
GSM924509,low,LAML
GSM924510,low,LAML
GSM924511,low,LAML
GSM924512,high,LAML
GSM924513,low,LAML
GSM924514,high,LAML
GSM924515,low,LAML
GSM924516,high,LAML
GSM924517,high,LAML
GSM924518,high,LAML
GSM924519,high,LAML
GSM924520,low,LAML
GSM924521,high,LAML
GSM924522,high,LAML
GSM924524,low,LAML
GSM924525,high,LAML
GSM924526,high,LAML
GSM924527,low,LAML
GSM924528,high,LAML
GSM924529,high,LAML
GSM924530,high,LAML
GSM924532,low,LAML
GSM924533,high,LAML
GSM924534,low,LAML
GSM924535,low,LAML
GSM924536,high,LAML
GSM924537,high,LAML
GSM924538,high,LAML
GSM924539,high,LAML
GSM924540,high,LAML
GSM924541,low,LAML
GSM924542,high,LAML
GSM924543,low,LAML
GSM924544,high,LAML
GSM924545,high,LAML
GSM924546,high,LAML
GSM924547,low,LAML
GSM924548,low,LAML
GSM924549,high,LAML
GSM924550,low,LAML
GSM924551,high,LAML
GSM924552,low,LAML
GSM924553,low,LAML
GSM924554,low,LAML
GSM924555,high,LAML
GSM924556,low,LAML
GSM924557,low,LAML
GSM924558,low,LAML
GSM924559,low,LAML
GSM924560,low,LAML
GSM924561,high,LAML
GSM924562,high,LAML
GSM924563,low,LAML
GSM924564,low,LAML
GSM924565,high,LAML
GSM924566,low,LAML
GSM924567,low,LAML
GSM924568,low,LAML
GSM924569,high,LAML
GSM924570,low,LAML
GSM924572,low,LAML
GSM924573,low,LAML
GSM924574,low,LAML
GSM924575,high,LAML
GSM924576,high,LAML
GSM924577,high,LAML
GSM924578,high,LAML
GSM924579,low,LAML
